широта;довгота;станція метро
50.5225;30.4986;Героїв Дніпра
50.5122;30.4983;Мінська (станція метро, Київ);Мінська
50.5011;30.4981;Оболонь
50.4867;30.4978;Почайна
50.4731;30.5050;Тараса Шевченка
50.4650;30.5167;Контрактова площа
50.4592;30.5256;Поштова площа
50.45;30.5241;Майдан Незалежності
50.4394;30.5169;Площа Льва Толстого
50.4319;30.5164;Олімпійська
50.4208;30.5208;Палац «Україна»
50.4131;30.5244;Либідська
50.4048;30.5168;Деміївська
50.3975;30.5083;Голосіївська
50.3933;30.4881;Васильківська
50.3825;30.4775;Виставковий центр
50.3766;30.4691;Іподром
50.3670;30.4542;Теремки